epoch,step,test_mean_error,test_median_error,test_p67,test_p90,test_p95,test_rmse,test_success_10m,test_success_20m,test_success_50m,test_success_5m,train_coarse_loss,train_fine_loss,train_loss_epoch
0,0,,,,,,,,,,,6.843476295471191,316.70037841796875,323.5438537597656
1,1,,,,,,,,,,,6.885838031768799,293.40570068359375,300.2915344238281
2,2,,,,,,,,,,,6.8570661544799805,253.0845489501953,259.9416198730469
3,3,,,,,,,,,,,6.8654985427856445,272.6175842285156,279.48309326171875
4,4,,,,,,,,,,,6.918527603149414,272.37615966796875,279.294677734375
5,5,907.7842407226562,907.7842407226562,907.7842407226562,907.7842407226562,907.7842407226562,907.7842407226562,0.0,0.0,0.0,0.0,,,
